Request_ID,Created_Timestamp,Service_Category,Sub_Category,Priority,Status,District,Area,Email_ID,Channel,Citizen_Age_Group,Resolution_Time_Hours,Escalated,Satisfaction_Rating,Assigned_Department,Worker_Assigned
REQ1027,2023-01-01T10:16:00.000Z,Education,Book Distribution,High,New,Kolhapur,Tarabai Park,neha.rao682@outlook.com,Web Portal,51-65,,No,,EDUCATION,
REQ1028,2023-01-01T17:52:00.000Z,Infrastructure,Pothole Complaint,High,In-Progress,Raigad,Khopoli,prakash.patel363@gmail.com,Web Portal,65+,,No,,INFRASTRUCTURE,WORKER_180
REQ1029,2023-01-01T00:43:00.000Z,Health Services,Medical Consultation,Low,Resolved,Mumbai City,Girgaon,neha.singh170@yahoo.com,Mobile App,18-25,14,No,5,HEALTH_SERVICES,WORKER_23
REQ1030,2023-01-01T11:21:00.000Z,Infrastructure,Building Maintenance,Low,Resolved,Solapur,Ashok Chowk,priya.iyer718@gmail.com,Mobile App,51-65,64,Yes,5,INFRASTRUCTURE,WORKER_115
REQ1031,2023-01-01T07:29:00.000Z,Public Safety,Disaster Alert,Critical,In-Progress,Mumbai City,CST,vijay.desai356@gmail.com,Phone,65+,,No,,PUBLIC_SAFETY,WORKER_356
REQ1032,2023-01-01T01:18:00.000Z,Transport,License Related,Medium,New,Aurangabad,Station Road,manoj.singh454@yahoo.com,Chatbot,65+,,No,,TRANSPORT,
REQ1033,2023-01-01T14:33:00.000Z,Revenue Services,Death Certificate,High,Escalated,Raigad,Pen,suresh.iyer170@gmail.com,Mobile App,36-50,,No,,REVENUE_SERVICES,WORKER_275
REQ1034,2023-01-01T04:19:00.000Z,Public Safety,Missing Person,Low,In-Progress,Nashik,Gangapur Road,anil.singh489@outlook.com,Web Portal,36-50,,No,,PUBLIC_SAFETY,WORKER_63
REQ1035,2023-01-01T15:41:00.000Z,Water Supply,Water Quality Issue,Low,Resolved,Jalgaon,Shivaji Nagar,anita.mehta313@gmail.com,Chatbot,26-35,65,No,4,WATER_SUPPLY,WORKER_180
REQ1036,2023-01-01T18:14:00.000Z,Revenue Services,Income Certificate,High,Escalated,Solapur,Hotgi Road,sunita.joshi160@hotmail.com,Chatbot,26-35,,No,,REVENUE_SERVICES,WORKER_213
REQ1037,2023-01-01T18:18:00.000Z,Waste Management,Illegal Dumping,Critical,Resolved,Kolhapur,Laxmipuri,pooja.mehta662@yahoo.com,Phone,65+,3,No,4,WASTE_MANAGEMENT,WORKER_404
REQ1038,2023-01-01T12:40:00.000Z,Electricity,Power Outage,Critical,Escalated,Jalgaon,Jamod Road,rajesh.nair230@gmail.com,Web Portal,36-50,,No,,ELECTRICITY,WORKER_365
REQ1039,2022-12-31T23:24:00.000Z,Transport,License Related,High,Resolved,Thane,Naupada,pooja.patel957@gmail.com,Mobile App,65+,13,No,4,TRANSPORT,WORKER_161
REQ1040,2022-12-31T21:41:00.000Z,Revenue Services,Income Certificate,High,In-Progress,Raigad,Matheran,rajesh.kumar612@rediffmail.com,Web Portal,51-65,,No,,REVENUE_SERVICES,WORKER_20
REQ1041,2022-12-31T19:57:00.000Z,Revenue Services,Birth Certificate,Medium,Escalated,Mumbai City,Girgaon,kavita.rao135@gmail.com,Web Portal,65+,,No,,REVENUE_SERVICES,WORKER_180
REQ1042,2023-01-01T08:29:00.000Z,Health Services,Medicine Shortage,Critical,Resolved,Solapur,Ashok Chowk,manoj.gupta995@gmail.com,Web Portal,36-50,4,No,3,HEALTH_SERVICES,WORKER_136
REQ1043,2022-12-31T19:41:00.000Z,Revenue Services,Birth Certificate,Critical,Resolved,Mumbai City,Girgaon,pooja.kapoor922@rediffmail.com,Chatbot,65+,6,Yes,4,REVENUE_SERVICES,WORKER_170
REQ1044,2023-01-01T01:12:00.000Z,Revenue Services,Ration Card,Critical,New,Pune,Deccan,priya.kumar814@outlook.com,Phone,65+,,No,,REVENUE_SERVICES,
REQ1045,2023-01-01T02:16:00.000Z,Education,School Admission,High,In-Progress,Mumbai City,Fort,priya.gupta47@hotmail.com,Web Portal,65+,,No,,EDUCATION,WORKER_288
REQ1046,2023-01-01T08:56:00.000Z,Transport,Vehicle Registration,Critical,Escalated,Kolhapur,Shivaji Peth,anil.kapoor755@gmail.com,Mobile App,51-65,,No,,TRANSPORT,WORKER_142
REQ1047,2023-01-01T03:03:00.000Z,Education,Scholarship Query,Low,Resolved,Satara,Godoli,sanjay.verma66@rediffmail.com,Phone,26-35,61,No,4,EDUCATION,WORKER_356
REQ1048,2023-01-01T13:53:00.000Z,Infrastructure,Drainage Problem,Low,Escalated,Nashik,Panchavati,sunita.shah7@rediffmail.com,Mobile App,18-25,,No,,INFRASTRUCTURE,WORKER_7
REQ1049,2023-01-01T11:33:00.000Z,Education,Teacher Complaint,High,Resolved,Satara,Jaystambh Chowk,sunita.singh245@gmail.com,Chatbot,51-65,21,No,4,EDUCATION,WORKER_494
REQ1050,2023-01-01T14:45:00.000Z,Public Safety,Law & Order,Medium,New,Mumbai City,Malabar Hill,pooja.rao816@yahoo.com,Phone,26-35,,No,,PUBLIC_SAFETY,
REQ1051,2022-12-31T19:24:00.000Z,Road Maintenance,Traffic Signal Repair,Low,In-Progress,Amravati,Rajkamal Chowk,pooja.gupta349@outlook.com,Chatbot,51-65,,No,,ROAD_MAINTENANCE,WORKER_297
REQ1052,2023-01-01T00:32:00.000Z,Transport,Taxi Complaint,High,Escalated,Nashik,Deolali,kavita.desai168@rediffmail.com,Mobile App,36-50,,No,,TRANSPORT,WORKER_132
REQ1053,2023-01-01T12:13:00.000Z,Infrastructure,Building Maintenance,Medium,Resolved,Thane,Naupada,anita.singh23@outlook.com,Web Portal,36-50,24,No,4,INFRASTRUCTURE,WORKER_179
REQ1054,2023-01-01T08:29:00.000Z,Health Services,Medicine Shortage,High,Resolved,Thane,Dombivli,kavita.shah922@hotmail.com,Chatbot,65+,3,No,5,HEALTH_SERVICES,WORKER_82
REQ1055,2023-01-01T04:22:00.000Z,Infrastructure,Pothole Complaint,Critical,Escalated,Jalgaon,Gajanan Nagar,sanjay.agarwal529@rediffmail.com,Web Portal,26-35,,No,,INFRASTRUCTURE,WORKER_314
REQ1056,2023-01-01T14:31:00.000Z,Education,Book Distribution,High,Escalated,Nashik,College Road,priya.kapoor902@hotmail.com,Web Portal,26-35,,No,,EDUCATION,WORKER_83
REQ1057,2023-01-01T13:08:00.000Z,Infrastructure,Street Light Issue,Low,Escalated,Nagpur,Sadar,sneha.kulkarni490@rediffmail.com,Mobile App,51-65,,No,,INFRASTRUCTURE,WORKER_177
REQ1058,2023-01-01T10:46:00.000Z,Transport,License Related,Critical,Resolved,Jalgaon,Nehru Chowk,anil.mishra123@yahoo.com,Chatbot,18-25,5,No,3,TRANSPORT,WORKER_240
REQ1059,2023-01-01T01:45:00.000Z,Waste Management,Garbage Collection,Low,New,Nagpur,Civil Lines,rahul.patel513@yahoo.com,Phone,65+,,No,,WASTE_MANAGEMENT,
REQ1060,2023-01-01T01:11:00.000Z,Health Services,Medical Consultation,Low,New,Pune,Shivajinagar,swati.mehta991@yahoo.com,Web Portal,65+,,No,,HEALTH_SERVICES,
REQ1061,2023-01-01T08:33:00.000Z,Public Safety,Missing Person,Medium,New,Ahmednagar,Newasa Road,manoj.iyer920@outlook.com,Mobile App,26-35,,No,,PUBLIC_SAFETY,
REQ1062,2023-01-01T05:08:00.000Z,Public Safety,Law & Order,Low,New,Mumbai City,Marine Lines,kavita.sharma124@yahoo.com,Phone,18-25,,No,,PUBLIC_SAFETY,
REQ1063,2023-01-01T02:26:00.000Z,Education,Infrastructure Issue,Low,New,Satara,Yevateshwar Road,anita.verma712@hotmail.com,Web Portal,51-65,,No,,EDUCATION,
REQ1064,2023-01-01T03:38:00.000Z,Infrastructure,Bridge Repair,High,Resolved,Raigad,Panvel,sanjay.desai261@hotmail.com,Mobile App,51-65,10,No,4,INFRASTRUCTURE,WORKER_159
REQ1065,2022-12-31T20:07:00.000Z,Education,Book Distribution,Low,In-Progress,Ahmednagar,Newasa Road,priya.reddy822@hotmail.com,Mobile App,26-35,,No,,EDUCATION,WORKER_299
REQ1066,2023-01-01T11:35:00.000Z,Waste Management,Waste Disposal,Medium,New,Nagpur,Sadar,neha.sharma990@hotmail.com,Chatbot,51-65,,No,,WASTE_MANAGEMENT,
REQ1067,2023-01-01T04:12:00.000Z,Health Services,Medical Consultation,Medium,Resolved,Thane,Dombivli,sunita.sharma690@rediffmail.com,Web Portal,18-25,54,No,4,HEALTH_SERVICES,WORKER_62
REQ1068,2023-01-01T18:18:00.000Z,Electricity,Billing Complaint,Critical,New,Solapur,Railway Lines,sanjay.reddy737@hotmail.com,Phone,65+,,No,,ELECTRICITY,
REQ1069,2023-01-01T00:42:00.000Z,Water Supply,Pipeline Leakage,Critical,Escalated,Kolhapur,Laxmipuri,prakash.shah706@gmail.com,Chatbot,36-50,,No,,WATER_SUPPLY,WORKER_88
REQ1070,2023-01-01T15:10:00.000Z,Electricity,Billing Complaint,Low,Resolved,Pune,Hadapsar,prakash.reddy596@hotmail.com,Phone,18-25,33,No,4,ELECTRICITY,WORKER_422
REQ1071,2023-01-01T02:42:00.000Z,Revenue Services,Ration Card,Medium,New,Amravati,Badnera Road,asha.chopra977@yahoo.com,Chatbot,65+,,No,,REVENUE_SERVICES,
REQ1072,2022-12-31T22:06:00.000Z,Waste Management,Garbage Collection,Low,New,Solapur,Siddheshwar Peth,sneha.nair832@hotmail.com,Phone,51-65,,No,,WASTE_MANAGEMENT,
REQ1073,2023-01-01T00:35:00.000Z,Public Safety,Fire Emergency,Low,In-Progress,Kolhapur,Laxmipuri,vijay.agarwal78@yahoo.com,Mobile App,18-25,,No,,PUBLIC_SAFETY,WORKER_399
REQ1074,2023-01-01T17:55:00.000Z,Transport,Taxi Complaint,High,In-Progress,Satara,Shaniwar Peth,vijay.rao331@outlook.com,Chatbot,51-65,,No,,TRANSPORT,WORKER_104
REQ1075,2022-12-31T18:32:00.000Z,Road Maintenance,Signage Issue,Medium,In-Progress,Sangli,Digraj Road,deepa.joshi266@yahoo.com,Web Portal,65+,,No,,ROAD_MAINTENANCE,WORKER_312
REQ1076,2023-01-01T05:02:00.000Z,Electricity,New Connection,High,Resolved,Raigad,Panvel,amit.singh548@hotmail.com,Chatbot,65+,11,No,5,ELECTRICITY,WORKER_263
REQ1077,2023-01-01T08:13:00.000Z,Transport,Route Query,High,New,Amravati,Camp,rahul.singh488@outlook.com,Phone,51-65,,No,,TRANSPORT,
REQ1078,2023-01-01T12:37:00.000Z,Water Supply,Water Shortage,Medium,Resolved,Raigad,Mahad,anil.desai460@yahoo.com,Mobile App,51-65,10,No,5,WATER_SUPPLY,WORKER_14
REQ1079,2022-12-31T21:56:00.000Z,Transport,License Related,Medium,Resolved,Satara,Kshetra Mahuli,sunita.reddy860@hotmail.com,Mobile App,36-50,45,No,5,TRANSPORT,WORKER_476
REQ1080,2023-01-01T07:47:00.000Z,Revenue Services,Ration Card,Low,New,Mumbai City,Colaba,prakash.patel716@hotmail.com,Phone,18-25,,No,,REVENUE_SERVICES,
REQ1081,2023-01-01T05:49:00.000Z,Electricity,Transformer Problem,Low,In-Progress,Raigad,Khopoli,deepa.shah952@hotmail.com,Web Portal,26-35,,No,,ELECTRICITY,WORKER_410
REQ1082,2023-01-01T01:45:00.000Z,Health Services,Medicine Shortage,Critical,New,Nagpur,Gandhibagh,vijay.sharma617@hotmail.com,Phone,18-25,,Yes,,HEALTH_SERVICES,
REQ1083,2022-12-31T19:40:00.000Z,Health Services,Medicine Shortage,Low,Resolved,Pune,Hadapsar,rajesh.nair908@gmail.com,Phone,18-25,8,No,4,HEALTH_SERVICES,WORKER_407
REQ1084,2023-01-01T12:31:00.000Z,Water Supply,Billing Issue,Low,New,Mumbai Suburban,Goregaon,amit.rao734@yahoo.com,Mobile App,36-50,,Yes,,WATER_SUPPLY,
REQ1085,2023-01-01T09:09:00.000Z,Public Safety,Missing Person,Medium,In-Progress,Mumbai Suburban,Bandra,rahul.shah181@yahoo.com,Chatbot,18-25,,No,,PUBLIC_SAFETY,WORKER_387
REQ1086,2023-01-01T09:33:00.000Z,Education,Scholarship Query,High,Escalated,Thane,Bhiwandi,sanjay.desai337@outlook.com,Phone,51-65,,No,,EDUCATION,WORKER_156
REQ1087,2022-12-31T21:17:00.000Z,Infrastructure,Street Light Issue,Low,In-Progress,Ahmednagar,Nagar Road,neha.mishra276@hotmail.com,Web Portal,65+,,Yes,,INFRASTRUCTURE,WORKER_20
REQ1088,2023-01-01T18:22:00.000Z,Transport,License Related,Medium,Escalated,Raigad,Khopoli,sneha.desai818@hotmail.com,Phone,36-50,,No,,TRANSPORT,WORKER_128
REQ1089,2023-01-01T03:05:00.000Z,Electricity,Billing Complaint,Medium,Escalated,Thane,Naupada,ramesh.singh633@outlook.com,Chatbot,18-25,,No,,ELECTRICITY,WORKER_39
REQ1090,2023-01-01T07:55:00.000Z,Electricity,Power Outage,Medium,Escalated,Aurangabad,Shahganj,sneha.agarwal540@rediffmail.com,Web Portal,18-25,,No,,ELECTRICITY,WORKER_461
REQ1091,2023-01-01T00:14:00.000Z,Water Supply,Connection Problem,High,New,Pune,Wakad,rahul.agarwal289@outlook.com,Web Portal,65+,,No,,WATER_SUPPLY,
REQ1092,2023-01-01T16:03:00.000Z,Waste Management,Illegal Dumping,Critical,In-Progress,Ahmednagar,Kedgaon Road,pooja.sharma63@rediffmail.com,Mobile App,51-65,,No,,WASTE_MANAGEMENT,WORKER_425
REQ1093,2023-01-01T11:19:00.000Z,Road Maintenance,Traffic Signal Repair,Critical,Escalated,Sangli,Market Yard,rajesh.kulkarni515@outlook.com,Mobile App,18-25,,No,,ROAD_MAINTENANCE,WORKER_263
REQ1094,2023-01-01T16:59:00.000Z,Electricity,Billing Complaint,High,Escalated,Satara,Godoli,neha.singh278@rediffmail.com,Chatbot,65+,,No,,ELECTRICITY,WORKER_384
REQ1095,2023-01-01T11:55:00.000Z,Public Safety,Missing Person,High,Escalated,Solapur,Budhwar Peth,neha.reddy454@yahoo.com,Chatbot,51-65,,No,,PUBLIC_SAFETY,WORKER_6
REQ1096,2022-12-31T21:26:00.000Z,Transport,Route Query,High,In-Progress,Mumbai City,Marine Lines,vijay.singh824@rediffmail.com,Mobile App,26-35,,No,,TRANSPORT,WORKER_162
REQ1097,2023-01-01T07:45:00.000Z,Health Services,Emergency Care,Low,Escalated,Aurangabad,Begumpura,kavita.iyer470@yahoo.com,Phone,36-50,,No,,HEALTH_SERVICES,WORKER_180
REQ1098,2023-01-01T17:08:00.000Z,Waste Management,Waste Disposal,Low,New,Jalgaon,Gajanan Nagar,neha.desai132@gmail.com,Web Portal,65+,,No,,WASTE_MANAGEMENT,
REQ1099,2023-01-01T16:10:00.000Z,Water Supply,Tanker Request,Low,Resolved,Mumbai City,Malabar Hill,swati.shah65@yahoo.com,Chatbot,26-35,8,No,5,WATER_SUPPLY,WORKER_465
REQ1100,2022-12-31T20:09:00.000Z,Public Safety,Traffic Violation,Low,In-Progress,Ahmednagar,Bhingar,kavita.rao729@outlook.com,Phone,18-25,,No,,PUBLIC_SAFETY,WORKER_64
REQ1101,2022-12-31T21:26:00.000Z,Waste Management,Waste Disposal,Medium,Escalated,Pune,Hinjewadi,kavita.mishra366@rediffmail.com,Phone,26-35,,No,,WASTE_MANAGEMENT,WORKER_371
REQ1102,2023-01-01T00:01:00.000Z,Road Maintenance,Road Cleaning,Critical,Escalated,Amravati,Kathora Road,ramesh.sharma689@gmail.com,Web Portal,51-65,,No,,ROAD_MAINTENANCE,WORKER_345
REQ1103,2023-01-01T02:25:00.000Z,Transport,License Related,Critical,New,Solapur,Sakhar Peth,sunita.joshi842@hotmail.com,Mobile App,65+,,No,,TRANSPORT,
REQ1104,2022-12-31T19:23:00.000Z,Health Services,Emergency Care,High,New,Nagpur,Gandhibagh,pooja.patel474@hotmail.com,Web Portal,36-50,,No,,HEALTH_SERVICES,
REQ1105,2023-01-01T14:30:00.000Z,Water Supply,Water Quality Issue,Critical,New,Sangli,Vasant Nagar,rahul.rao166@gmail.com,Phone,65+,,No,,WATER_SUPPLY,
REQ1106,2023-01-01T13:33:00.000Z,Waste Management,Bin Placement,Critical,Resolved,Sangli,Vishrambag,pooja.kumar375@hotmail.com,Chatbot,18-25,5,No,5,WASTE_MANAGEMENT,WORKER_22
REQ1107,2023-01-01T08:35:00.000Z,Electricity,Power Outage,Medium,New,Solapur,Ashok Chowk,prakash.mehta240@gmail.com,Mobile App,51-65,,No,,ELECTRICITY,
REQ1108,2023-01-01T10:58:00.000Z,Health Services,Vaccination,High,New,Kolhapur,Laxmipuri,sunita.nair618@gmail.com,Phone,65+,,No,,HEALTH_SERVICES,
REQ1109,2022-12-31T21:02:00.000Z,Health Services,Medical Consultation,Critical,Escalated,Pune,Kothrud,vijay.mehta681@gmail.com,Web Portal,65+,,Yes,,HEALTH_SERVICES,WORKER_373
REQ1110,2023-01-01T09:12:00.000Z,Electricity,Billing Complaint,Critical,Resolved,Kolhapur,Laxmipuri,sanjay.joshi995@hotmail.com,Mobile App,26-35,6,Yes,4,ELECTRICITY,WORKER_225
REQ1111,2022-12-31T19:02:00.000Z,Education,Book Distribution,Low,New,Nashik,College Road,rajesh.mehta700@outlook.com,Mobile App,65+,,No,,EDUCATION,
REQ1112,2023-01-01T08:37:00.000Z,Health Services,Medicine Shortage,Medium,New,Amravati,Kathora Road,asha.patel431@gmail.com,Chatbot,26-35,,No,,HEALTH_SERVICES,
REQ1113,2023-01-01T12:25:00.000Z,Waste Management,Illegal Dumping,Medium,Resolved,Aurangabad,Garkheda,sanjay.joshi455@hotmail.com,Mobile App,36-50,27,No,4,WASTE_MANAGEMENT,WORKER_163
REQ1114,2022-12-31T22:03:00.000Z,Waste Management,Recycling Query,Low,In-Progress,Solapur,Budhwar Peth,prakash.kulkarni852@outlook.com,Mobile App,51-65,,No,,WASTE_MANAGEMENT,WORKER_239
REQ1115,2023-01-01T17:36:00.000Z,Public Safety,Fire Emergency,Critical,New,Nagpur,Sadar,ramesh.verma179@rediffmail.com,Mobile App,26-35,,Yes,,PUBLIC_SAFETY,
REQ1116,2023-01-01T17:23:00.000Z,Water Supply,Water Shortage,Low,Resolved,Aurangabad,Begumpura,kavita.singh62@gmail.com,Web Portal,51-65,18,No,3,WATER_SUPPLY,WORKER_337
REQ1117,2022-12-31T21:10:00.000Z,Education,Teacher Complaint,Low,Escalated,Aurangabad,Shahganj,sanjay.gupta153@rediffmail.com,Web Portal,36-50,,No,,EDUCATION,WORKER_307
REQ1118,2022-12-31T22:03:00.000Z,Public Safety,Disaster Alert,Medium,Escalated,Amravati,Kathora Road,deepa.gupta921@rediffmail.com,Mobile App,26-35,,No,,PUBLIC_SAFETY,WORKER_347
REQ1119,2023-01-01T17:50:00.000Z,Water Supply,Billing Issue,Medium,New,Pune,Wakad,anita.gupta606@rediffmail.com,Phone,36-50,,No,,WATER_SUPPLY,
REQ1120,2023-01-01T06:53:00.000Z,Public Safety,Missing Person,Low,Escalated,Jalgaon,Station Road,swati.mehta358@gmail.com,Phone,18-25,,No,,PUBLIC_SAFETY,WORKER_52
REQ1121,2023-01-01T03:07:00.000Z,Public Safety,Crime Report,Medium,New,Satara,City Area,amit.agarwal900@hotmail.com,Web Portal,26-35,,No,,PUBLIC_SAFETY,
REQ1122,2023-01-01T04:30:00.000Z,Water Supply,Pipeline Leakage,High,In-Progress,Mumbai City,Marine Lines,ramesh.gupta917@rediffmail.com,Web Portal,18-25,,No,,WATER_SUPPLY,WORKER_185
REQ1123,2023-01-01T03:57:00.000Z,Water Supply,Water Quality Issue,High,New,Raigad,Matheran,deepa.verma421@yahoo.com,Phone,26-35,,Yes,,WATER_SUPPLY,
REQ1124,2023-01-01T16:31:00.000Z,Road Maintenance,Traffic Signal Repair,High,In-Progress,Solapur,Railway Lines,amit.sharma157@gmail.com,Mobile App,26-35,,No,,ROAD_MAINTENANCE,WORKER_212
REQ1125,2022-12-31T23:28:00.000Z,Electricity,Transformer Problem,Low,New,Mumbai Suburban,Bandra,sunita.kumar321@gmail.com,Chatbot,26-35,,No,,ELECTRICITY,
REQ1126,2023-01-01T08:22:00.000Z,Health Services,Medicine Shortage,Critical,Resolved,Raigad,Mahad,anil.chopra173@rediffmail.com,Chatbot,51-65,7,No,4,HEALTH_SERVICES,WORKER_339
REQ1127,2023-01-01T16:29:00.000Z,Education,Exam Related,Low,Resolved,Thane,Ulhasnagar,swati.mishra794@yahoo.com,Chatbot,36-50,69,No,3,EDUCATION,WORKER_420
REQ1128,2023-01-01T03:19:00.000Z,Infrastructure,Street Light Issue,Low,New,Aurangabad,Cantonment,deepa.reddy200@gmail.com,Phone,36-50,,No,,INFRASTRUCTURE,
REQ1129,2023-01-01T04:01:00.000Z,Water Supply,Water Quality Issue,Critical,Resolved,Aurangabad,Garkheda,amit.sharma811@rediffmail.com,Web Portal,51-65,1,No,3,WATER_SUPPLY,WORKER_29
REQ1130,2022-12-31T20:20:00.000Z,Revenue Services,Income Certificate,Medium,In-Progress,Solapur,Sakhar Peth,pooja.desai984@rediffmail.com,Web Portal,51-65,,No,,REVENUE_SERVICES,WORKER_57
REQ1131,2022-12-31T22:55:00.000Z,Waste Management,Recycling Query,Low,New,Mumbai Suburban,Goregaon,suresh.gupta525@rediffmail.com,Chatbot,51-65,,No,,WASTE_MANAGEMENT,
REQ1132,2023-01-01T16:09:00.000Z,Transport,Vehicle Registration,High,In-Progress,Jalgaon,Samor Bazar,swati.iyer570@hotmail.com,Phone,65+,,No,,TRANSPORT,WORKER_405
REQ1133,2023-01-01T09:08:00.000Z,Health Services,Medical Consultation,Low,New,Nashik,College Road,sunita.kapoor622@rediffmail.com,Mobile App,26-35,,No,,HEALTH_SERVICES,
REQ1134,2022-12-31T19:41:00.000Z,Revenue Services,Birth Certificate,High,Escalated,Nagpur,Civil Lines,prakash.nair651@yahoo.com,Web Portal,65+,,No,,REVENUE_SERVICES,WORKER_63
